vesslterms,feature_type,chart,latdec,longdec,depth,histroy,quasou,watlev,coordinates
,Wrecks - Visible,"US,US,graph,Chart 11553",35.5390359,,,,,always dry,"[-76.6260807,35.5390359]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.015018,,,,depth unknown,always under water/submerged,"[-76.690048,35.015018]"
,Wrecks - Visible,"US,US,graph,Chart 11554",35.544388,,,,,always dry,"[-77.06982,35.544388]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11554",35.408026,,,,depth unknown,always under water/submerged,"[-76.817983,35.408026]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.099551,,,,depth unknown,always under water/submerged,"[-77.045418,35.099551]"
,Wrecks - Visible,"US,US,graph,Chart 11552",35.086773,,,,,always dry,"[-76.641453,35.086773]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.2710697,,,,depth unknown,always under water/submerged,"[-76.5915132,35.2710697]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.300726,,,,,always under water/submerged,"[-76.217494,36.300726]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.3068163,,,,,always under water/submerged,"[-76.207672,36.3068163]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.306728,,,,,always under water/submerged,"[-76.208718,36.306728]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",36.0582554,,,,depth unknown,always under water/submerged,"[-75.9668685,36.0582554]"
,Wrecks - Visible,"US,US,graph,Chart 11552",35.088056,,,,,always dry,"[-76.636577,35.088056]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.302888,,,,,always under water/submerged,"[-76.206385,36.302888]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.29994,,,,,always under water/submerged,"[-76.214547,36.29994]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.126804,,,,depth unknown,always under water/submerged,"[-77.028468,35.126804]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11554",35.337552,,,,depth unknown,always under water/submerged,"[-76.688467,35.337552]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.094677,,,,depth unknown,always under water/submerged,"[-77.007934,35.094677]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.002574,,,,depth unknown,always under water/submerged,"[-76.867073,35.002574]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.1020848,,5.7,,value reported (not confirmed),always under water/submerged,"[-76.5011533,35.1020848]"
,distributed remains of wreck,"US,US,graph,chart 12205",35.7841395,,0.6,,least depth known,always under water/submerged,"[-75.5184651,35.7841395]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 11554",35.400714,,,,depth unknown,always under water/submerged,"[-76.967141,35.400714]"
,"Wrecks - Submerged, dangerous","US,US,reprt,5thCGD,LNM 21/05",35.7867756,,1.8,,least depth known,always under water/submerged,"[-75.5168234,35.7867756]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.3108179,,,,depth unknown,always under water/submerged,"[-76.6094908,35.3108179]"
,Wrecks - Visible,"US,US,graph,Chart 11554",35.429698,,,,,always dry,"[-76.668292,35.429698]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.302233,,,,,always under water/submerged,"[-76.203762,36.302233]"
,Wrecks - Visible,"US,US,graph,Chart 11553",35.5423726,,,,,always dry,"[-76.6332448,35.5423726]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.4109179,,,,depth unknown,always under water/submerged,"[-76.554412,35.4109179]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 12205",35.9197502,,,,depth unknown,always under water/submerged,"[-75.7118955,35.9197502]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.298922,,,,,always under water/submerged,"[-76.201121,36.298922]"
,Wrecks - Visible,"US,US,graph,Chart 11552",35.149959,,,,,always dry,"[-76.729504,35.149959]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",34.92803,,,,depth unknown,always under water/submerged,"[-76.651051,34.92803]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11554",35.316015,,,,depth unknown,always under water/submerged,"[-76.789973,35.316015]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11541",34.691572,,,,depth unknown,always under water/submerged,"[-76.888589,34.691572]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.9237774,,,,depth unknown,always under water/submerged,"[-75.9482271,35.9237774]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.306633,,,,,always under water/submerged,"[-76.206788,36.306633]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.120277,,,,depth unknown,always under water/submerged,"[-77.041057,35.120277]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12206",36.249109,,,,,always under water/submerged,"[-76.092931,36.249109]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11553",35.3402091,,,,depth unknown,always under water/submerged,"[-76.6128782,35.3402091]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11552",35.125766,,,,depth unknown,always under water/submerged,"[-77.0297,35.125766]"
